sample,time,sensor_value
0,520,607
1,541,606
2,562,607
3,583,606
4,604,607
5,625,606
6,646,607
7,667,607
8,688,606
9,709,606
10,730,606
11,751,607
12,772,607
13,793,607
14,814,606
15,835,607
16,856,607
17,877,607
18,898,606
19,919,606
20,940,607
21,961,606
22,982,606
23,1003,606
24,1024,606
25,1045,607
26,1067,606
27,1088,606
28,1110,606
29,1131,606
30,1152,607
31,1173,607
32,1195,606
33,1216,606
34,1238,606
35,1259,606
36,1280,607
37,1301,606
38,1323,606
39,1344,606
40,1366,606
41,1387,606
42,1408,606
43,1429,607
44,1451,606
45,1472,606
46,1494,606
47,1515,606
48,1536,607
49,1557,607
50,1579,606
51,1600,606
52,1622,606
53,1643,606
54,1664,606
55,1685,606
56,1707,606
57,1728,606
58,1750,606
59,1771,606
60,1792,606
61,1813,606
62,1835,606
63,1856,606
64,1878,606
65,1899,606
66,1920,606
67,1941,606
68,1963,606
69,1984,606
70,2006,606
71,2027,606
72,2048,606
73,2069,606
74,2091,606
75,2112,606
76,2134,606
77,2155,606
78,2176,606
79,2197,606
80,2219,606
81,2240,606
82,2262,606
83,2283,606
84,2304,606
85,2325,606
86,2347,606
87,2368,606
88,2390,606
89,2411,606
90,2432,606
91,2453,606
92,2475,606
93,2496,606
94,2518,606
95,2539,606
96,2560,606
97,2581,606
98,2603,606
99,2624,606
100,2646,606
101,2667,606
102,2688,606
103,2709,606
104,2731,606
105,2752,606
106,2774,606
107,2795,606
108,2816,606
109,2837,606
110,2859,606
111,2880,605
112,2902,606
113,2923,606
114,2944,606
115,2965,606
116,2987,606
117,3008,607
118,3030,607
119,3051,607
120,3072,607
121,3093,608
122,3115,608
123,3136,608
124,3158,608
125,3179,609
126,3200,609
127,3221,609
128,3243,610
129,3264,609
130,3286,610
131,3307,610
132,3328,610
133,3349,611
134,3371,610
135,3392,611
136,3414,612
137,3435,612
138,3456,612
139,3477,612
140,3499,613
141,3520,613
142,3542,614
143,3563,614
144,3584,614
145,3605,615
146,3627,614
147,3648,615
148,3670,615
149,3691,615
150,3712,615
151,3733,616
152,3755,616
153,3776,616
154,3798,616
155,3819,617
156,3840,617
157,3861,617
158,3883,617
159,3904,618
160,3926,618
161,3947,618
162,3968,618
163,3989,619
164,4011,619
165,4032,619
166,4054,620
167,4075,620
168,4096,620
169,4117,620
170,4139,621
171,4160,621
172,4182,621
173,4203,621
174,4224,621
175,4245,622
176,4267,621
177,4288,622
178,4310,623
179,4331,623
180,4352,623
181,4373,623
182,4395,624
183,4416,623
184,4438,624
185,4459,624
186,4480,624
187,4501,625
188,4523,625
189,4544,625
190,4566,625
191,4587,625
192,4608,626
193,4629,626
194,4651,626
195,4672,626
196,4694,627
197,4715,627
198,4736,627
199,4757,627
200,4779,627
201,4800,628
202,4822,628
203,4843,629
204,4864,629
205,4885,629
206,4907,629
207,4928,629
208,4950,629
209,4971,630
210,4992,629
211,5013,630
212,5035,630
213,5056,630
214,5078,631
215,5099,630
216,5120,631
217,5141,631
218,5163,631
219,5184,632
220,5206,632
221,5227,632
222,5248,632
223,5269,633
224,5291,633
225,5312,633
226,5334,633
227,5355,633
228,5376,634
229,5397,634
230,5419,635
231,5440,634
232,5462,635
233,5483,635
234,5504,635
235,5525,636
236,5547,636
237,5568,636
238,5590,636
239,5611,637
240,5632,637
241,5653,638
242,5675,637
243,5696,638
244,5718,638
